frame_id,person_count,processing_time_ms,annotated_frame
1,8,211.61,output\experiments\crowd_city_20260611_013614\annotated_frames\camera_01_frame_000001.jpg
2,7,129.32,output\experiments\crowd_city_20260611_013614\annotated_frames\camera_01_frame_000002.jpg
3,7,106.2,output\experiments\crowd_city_20260611_013614\annotated_frames\camera_01_frame_000003.jpg
4,7,78.84,output\experiments\crowd_city_20260611_013614\annotated_frames\camera_01_frame_000004.jpg
5,8,99.52,output\experiments\crowd_city_20260611_013614\annotated_frames\camera_01_frame_000005.jpg
6,8,88.46,output\experiments\crowd_city_20260611_013614\annotated_frames\camera_01_frame_000006.jpg
7,8,85.74,output\experiments\crowd_city_20260611_013614\annotated_frames\camera_01_frame_000007.jpg
8,6,90.73,output\experiments\crowd_city_20260611_013614\annotated_frames\camera_01_frame_000008.jpg
9,7,93.31,output\experiments\crowd_city_20260611_013614\annotated_frames\camera_01_frame_000009.jpg
10,7,88.13,output\experiments\crowd_city_20260611_013614\annotated_frames\camera_01_frame_000010.jpg
11,7,92.91,output\experiments\crowd_city_20260611_013614\annotated_frames\camera_01_frame_000011.jpg
12,8,96.52,output\experiments\crowd_city_20260611_013614\annotated_frames\camera_01_frame_000012.jpg
13,7,96.67,output\experiments\crowd_city_20260611_013614\annotated_frames\camera_01_frame_000013.jpg
14,7,90.64,output\experiments\crowd_city_20260611_013614\annotated_frames\camera_01_frame_000014.jpg
15,7,78.11,output\experiments\crowd_city_20260611_013614\annotated_frames\camera_01_frame_000015.jpg
16,6,83.1,output\experiments\crowd_city_20260611_013614\annotated_frames\camera_01_frame_000016.jpg
17,6,85.06,output\experiments\crowd_city_20260611_013614\annotated_frames\camera_01_frame_000017.jpg
18,7,85.11,output\experiments\crowd_city_20260611_013614\annotated_frames\camera_01_frame_000018.jpg
19,6,85.3,output\experiments\crowd_city_20260611_013614\annotated_frames\camera_01_frame_000019.jpg
20,6,85.83,output\experiments\crowd_city_20260611_013614\annotated_frames\camera_01_frame_000020.jpg
21,7,90.12,output\experiments\crowd_city_20260611_013614\annotated_frames\camera_01_frame_000021.jpg
22,8,91.88,output\experiments\crowd_city_20260611_013614\annotated_frames\camera_01_frame_000022.jpg
23,8,89.64,output\experiments\crowd_city_20260611_013614\annotated_frames\camera_01_frame_000023.jpg
24,8,91.7,output\experiments\crowd_city_20260611_013614\annotated_frames\camera_01_frame_000024.jpg
25,8,82.42,output\experiments\crowd_city_20260611_013614\annotated_frames\camera_01_frame_000025.jpg
26,8,85.23,output\experiments\crowd_city_20260611_013614\annotated_frames\camera_01_frame_000026.jpg
27,8,81.05,output\experiments\crowd_city_20260611_013614\annotated_frames\camera_01_frame_000027.jpg
28,8,88.73,output\experiments\crowd_city_20260611_013614\annotated_frames\camera_01_frame_000028.jpg
29,8,85.23,output\experiments\crowd_city_20260611_013614\annotated_frames\camera_01_frame_000029.jpg
30,9,78.4,output\experiments\crowd_city_20260611_013614\annotated_frames\camera_01_frame_000030.jpg
31,9,79.78,output\experiments\crowd_city_20260611_013614\annotated_frames\camera_01_frame_000031.jpg
32,11,75.07,output\experiments\crowd_city_20260611_013614\annotated_frames\camera_01_frame_000032.jpg
33,10,84.77,output\experiments\crowd_city_20260611_013614\annotated_frames\camera_01_frame_000033.jpg
34,10,82.15,output\experiments\crowd_city_20260611_013614\annotated_frames\camera_01_frame_000034.jpg
35,8,77.09,output\experiments\crowd_city_20260611_013614\annotated_frames\camera_01_frame_000035.jpg
36,8,91.59,output\experiments\crowd_city_20260611_013614\annotated_frames\camera_01_frame_000036.jpg
37,8,80.43,output\experiments\crowd_city_20260611_013614\annotated_frames\camera_01_frame_000037.jpg
38,8,80.38,output\experiments\crowd_city_20260611_013614\annotated_frames\camera_01_frame_000038.jpg
39,8,91.82,output\experiments\crowd_city_20260611_013614\annotated_frames\camera_01_frame_000039.jpg
40,7,78.72,output\experiments\crowd_city_20260611_013614\annotated_frames\camera_01_frame_000040.jpg
41,6,80.39,output\experiments\crowd_city_20260611_013614\annotated_frames\camera_01_frame_000041.jpg
42,6,82.55,output\experiments\crowd_city_20260611_013614\annotated_frames\camera_01_frame_000042.jpg
43,5,78.57,output\experiments\crowd_city_20260611_013614\annotated_frames\camera_01_frame_000043.jpg
44,5,76.69,output\experiments\crowd_city_20260611_013614\annotated_frames\camera_01_frame_000044.jpg
45,6,78.69,output\experiments\crowd_city_20260611_013614\annotated_frames\camera_01_frame_000045.jpg
46,7,76.62,output\experiments\crowd_city_20260611_013614\annotated_frames\camera_01_frame_000046.jpg
47,6,80.85,output\experiments\crowd_city_20260611_013614\annotated_frames\camera_01_frame_000047.jpg
48,5,80.54,output\experiments\crowd_city_20260611_013614\annotated_frames\camera_01_frame_000048.jpg
49,7,83.48,output\experiments\crowd_city_20260611_013614\annotated_frames\camera_01_frame_000049.jpg
50,7,77.38,output\experiments\crowd_city_20260611_013614\annotated_frames\camera_01_frame_000050.jpg
51,7,76.85,output\experiments\crowd_city_20260611_013614\annotated_frames\camera_01_frame_000051.jpg
52,7,76.6,output\experiments\crowd_city_20260611_013614\annotated_frames\camera_01_frame_000052.jpg
53,8,85.65,output\experiments\crowd_city_20260611_013614\annotated_frames\camera_01_frame_000053.jpg
54,7,86.24,output\experiments\crowd_city_20260611_013614\annotated_frames\camera_01_frame_000054.jpg
55,7,86.05,output\experiments\crowd_city_20260611_013614\annotated_frames\camera_01_frame_000055.jpg
56,8,84.74,output\experiments\crowd_city_20260611_013614\annotated_frames\camera_01_frame_000056.jpg
57,7,84.73,output\experiments\crowd_city_20260611_013614\annotated_frames\camera_01_frame_000057.jpg
58,7,84.46,output\experiments\crowd_city_20260611_013614\annotated_frames\camera_01_frame_000058.jpg
59,7,85.03,output\experiments\crowd_city_20260611_013614\annotated_frames\camera_01_frame_000059.jpg
60,7,82.98,output\experiments\crowd_city_20260611_013614\annotated_frames\camera_01_frame_000060.jpg
61,7,85.67,output\experiments\crowd_city_20260611_013614\annotated_frames\camera_01_frame_000061.jpg
62,7,76.94,output\experiments\crowd_city_20260611_013614\annotated_frames\camera_01_frame_000062.jpg
63,7,76.98,output\experiments\crowd_city_20260611_013614\annotated_frames\camera_01_frame_000063.jpg
64,7,79.72,output\experiments\crowd_city_20260611_013614\annotated_frames\camera_01_frame_000064.jpg
65,7,80.26,output\experiments\crowd_city_20260611_013614\annotated_frames\camera_01_frame_000065.jpg
66,8,80.77,output\experiments\crowd_city_20260611_013614\annotated_frames\camera_01_frame_000066.jpg
67,8,88.48,output\experiments\crowd_city_20260611_013614\annotated_frames\camera_01_frame_000067.jpg
68,7,82.54,output\experiments\crowd_city_20260611_013614\annotated_frames\camera_01_frame_000068.jpg
69,7,81.08,output\experiments\crowd_city_20260611_013614\annotated_frames\camera_01_frame_000069.jpg
70,8,81.37,output\experiments\crowd_city_20260611_013614\annotated_frames\camera_01_frame_000070.jpg
71,7,87.0,output\experiments\crowd_city_20260611_013614\annotated_frames\camera_01_frame_000071.jpg
72,6,82.14,output\experiments\crowd_city_20260611_013614\annotated_frames\camera_01_frame_000072.jpg
73,7,85.65,output\experiments\crowd_city_20260611_013614\annotated_frames\camera_01_frame_000073.jpg
74,7,80.31,output\experiments\crowd_city_20260611_013614\annotated_frames\camera_01_frame_000074.jpg
75,7,84.22,output\experiments\crowd_city_20260611_013614\annotated_frames\camera_01_frame_000075.jpg
76,8,83.86,output\experiments\crowd_city_20260611_013614\annotated_frames\camera_01_frame_000076.jpg
77,7,82.13,output\experiments\crowd_city_20260611_013614\annotated_frames\camera_01_frame_000077.jpg
78,7,79.76,output\experiments\crowd_city_20260611_013614\annotated_frames\camera_01_frame_000078.jpg
79,7,84.35,output\experiments\crowd_city_20260611_013614\annotated_frames\camera_01_frame_000079.jpg
80,7,82.28,output\experiments\crowd_city_20260611_013614\annotated_frames\camera_01_frame_000080.jpg
81,8,77.78,output\experiments\crowd_city_20260611_013614\annotated_frames\camera_01_frame_000081.jpg
82,7,79.85,output\experiments\crowd_city_20260611_013614\annotated_frames\camera_01_frame_000082.jpg
83,7,79.26,output\experiments\crowd_city_20260611_013614\annotated_frames\camera_01_frame_000083.jpg
84,7,85.29,output\experiments\crowd_city_20260611_013614\annotated_frames\camera_01_frame_000084.jpg
85,7,87.12,output\experiments\crowd_city_20260611_013614\annotated_frames\camera_01_frame_000085.jpg
86,7,87.48,output\experiments\crowd_city_20260611_013614\annotated_frames\camera_01_frame_000086.jpg
87,7,92.32,output\experiments\crowd_city_20260611_013614\annotated_frames\camera_01_frame_000087.jpg
88,8,87.77,output\experiments\crowd_city_20260611_013614\annotated_frames\camera_01_frame_000088.jpg
89,8,83.1,output\experiments\crowd_city_20260611_013614\annotated_frames\camera_01_frame_000089.jpg
90,8,82.35,output\experiments\crowd_city_20260611_013614\annotated_frames\camera_01_frame_000090.jpg
91,8,80.69,output\experiments\crowd_city_20260611_013614\annotated_frames\camera_01_frame_000091.jpg
92,8,79.23,output\experiments\crowd_city_20260611_013614\annotated_frames\camera_01_frame_000092.jpg
93,7,77.89,output\experiments\crowd_city_20260611_013614\annotated_frames\camera_01_frame_000093.jpg
94,7,82.14,output\experiments\crowd_city_20260611_013614\annotated_frames\camera_01_frame_000094.jpg
95,6,81.12,output\experiments\crowd_city_20260611_013614\annotated_frames\camera_01_frame_000095.jpg
96,7,79.25,output\experiments\crowd_city_20260611_013614\annotated_frames\camera_01_frame_000096.jpg
97,7,82.38,output\experiments\crowd_city_20260611_013614\annotated_frames\camera_01_frame_000097.jpg
98,6,76.61,output\experiments\crowd_city_20260611_013614\annotated_frames\camera_01_frame_000098.jpg
99,6,75.59,output\experiments\crowd_city_20260611_013614\annotated_frames\camera_01_frame_000099.jpg
100,7,85.79,output\experiments\crowd_city_20260611_013614\annotated_frames\camera_01_frame_000100.jpg
101,7,85.08,output\experiments\crowd_city_20260611_013614\annotated_frames\camera_01_frame_000101.jpg
102,7,81.35,output\experiments\crowd_city_20260611_013614\annotated_frames\camera_01_frame_000102.jpg
103,7,85.53,output\experiments\crowd_city_20260611_013614\annotated_frames\camera_01_frame_000103.jpg
104,7,84.7,output\experiments\crowd_city_20260611_013614\annotated_frames\camera_01_frame_000104.jpg
105,7,85.75,output\experiments\crowd_city_20260611_013614\annotated_frames\camera_01_frame_000105.jpg
106,7,83.19,output\experiments\crowd_city_20260611_013614\annotated_frames\camera_01_frame_000106.jpg
107,7,82.07,output\experiments\crowd_city_20260611_013614\annotated_frames\camera_01_frame_000107.jpg
108,7,85.19,output\experiments\crowd_city_20260611_013614\annotated_frames\camera_01_frame_000108.jpg
109,7,77.57,output\experiments\crowd_city_20260611_013614\annotated_frames\camera_01_frame_000109.jpg
110,7,84.99,output\experiments\crowd_city_20260611_013614\annotated_frames\camera_01_frame_000110.jpg
111,7,85.53,output\experiments\crowd_city_20260611_013614\annotated_frames\camera_01_frame_000111.jpg
112,7,95.27,output\experiments\crowd_city_20260611_013614\annotated_frames\camera_01_frame_000112.jpg
113,7,89.18,output\experiments\crowd_city_20260611_013614\annotated_frames\camera_01_frame_000113.jpg
114,7,118.54,output\experiments\crowd_city_20260611_013614\annotated_frames\camera_01_frame_000114.jpg
115,7,98.31,output\experiments\crowd_city_20260611_013614\annotated_frames\camera_01_frame_000115.jpg
116,7,108.05,output\experiments\crowd_city_20260611_013614\annotated_frames\camera_01_frame_000116.jpg
117,7,104.72,output\experiments\crowd_city_20260611_013614\annotated_frames\camera_01_frame_000117.jpg
118,7,119.42,output\experiments\crowd_city_20260611_013614\annotated_frames\camera_01_frame_000118.jpg
119,7,137.08,output\experiments\crowd_city_20260611_013614\annotated_frames\camera_01_frame_000119.jpg
120,7,128.54,output\experiments\crowd_city_20260611_013614\annotated_frames\camera_01_frame_000120.jpg
121,7,130.42,output\experiments\crowd_city_20260611_013614\annotated_frames\camera_01_frame_000121.jpg
122,7,130.63,output\experiments\crowd_city_20260611_013614\annotated_frames\camera_01_frame_000122.jpg
123,7,121.53,output\experiments\crowd_city_20260611_013614\annotated_frames\camera_01_frame_000123.jpg
124,7,131.85,output\experiments\crowd_city_20260611_013614\annotated_frames\camera_01_frame_000124.jpg
125,6,134.58,output\experiments\crowd_city_20260611_013614\annotated_frames\camera_01_frame_000125.jpg
126,6,121.87,output\experiments\crowd_city_20260611_013614\annotated_frames\camera_01_frame_000126.jpg
127,7,121.28,output\experiments\crowd_city_20260611_013614\annotated_frames\camera_01_frame_000127.jpg
128,6,116.55,output\experiments\crowd_city_20260611_013614\annotated_frames\camera_01_frame_000128.jpg
129,5,122.55,output\experiments\crowd_city_20260611_013614\annotated_frames\camera_01_frame_000129.jpg
130,5,130.21,output\experiments\crowd_city_20260611_013614\annotated_frames\camera_01_frame_000130.jpg
131,5,113.26,output\experiments\crowd_city_20260611_013614\annotated_frames\camera_01_frame_000131.jpg
132,5,89.17,output\experiments\crowd_city_20260611_013614\annotated_frames\camera_01_frame_000132.jpg
133,4,90.04,output\experiments\crowd_city_20260611_013614\annotated_frames\camera_01_frame_000133.jpg
134,4,86.0,output\experiments\crowd_city_20260611_013614\annotated_frames\camera_01_frame_000134.jpg
135,5,84.19,output\experiments\crowd_city_20260611_013614\annotated_frames\camera_01_frame_000135.jpg
136,4,130.32,output\experiments\crowd_city_20260611_013614\annotated_frames\camera_01_frame_000136.jpg
137,5,141.04,output\experiments\crowd_city_20260611_013614\annotated_frames\camera_01_frame_000137.jpg
138,11,127.95,output\experiments\crowd_city_20260611_013614\annotated_frames\camera_01_frame_000138.jpg
139,12,133.31,output\experiments\crowd_city_20260611_013614\annotated_frames\camera_01_frame_000139.jpg
140,12,136.39,output\experiments\crowd_city_20260611_013614\annotated_frames\camera_01_frame_000140.jpg
141,12,127.59,output\experiments\crowd_city_20260611_013614\annotated_frames\camera_01_frame_000141.jpg
142,10,124.25,output\experiments\crowd_city_20260611_013614\annotated_frames\camera_01_frame_000142.jpg
143,12,137.97,output\experiments\crowd_city_20260611_013614\annotated_frames\camera_01_frame_000143.jpg
144,11,124.2,output\experiments\crowd_city_20260611_013614\annotated_frames\camera_01_frame_000144.jpg
145,10,141.11,output\experiments\crowd_city_20260611_013614\annotated_frames\camera_01_frame_000145.jpg
146,9,128.23,output\experiments\crowd_city_20260611_013614\annotated_frames\camera_01_frame_000146.jpg
147,8,130.18,output\experiments\crowd_city_20260611_013614\annotated_frames\camera_01_frame_000147.jpg
148,8,120.31,output\experiments\crowd_city_20260611_013614\annotated_frames\camera_01_frame_000148.jpg
149,7,138.72,output\experiments\crowd_city_20260611_013614\annotated_frames\camera_01_frame_000149.jpg
150,10,134.4,output\experiments\crowd_city_20260611_013614\annotated_frames\camera_01_frame_000150.jpg
