frame_id,person_count,processing_time_ms,annotated_frame
1,3,129.79,output\experiments\sidewalk_20260611_013714\annotated_frames\camera_01_frame_000001.jpg
2,3,53.68,output\experiments\sidewalk_20260611_013714\annotated_frames\camera_01_frame_000002.jpg
3,4,55.81,output\experiments\sidewalk_20260611_013714\annotated_frames\camera_01_frame_000003.jpg
4,1,58.72,output\experiments\sidewalk_20260611_013714\annotated_frames\camera_01_frame_000004.jpg
5,2,55.94,output\experiments\sidewalk_20260611_013714\annotated_frames\camera_01_frame_000005.jpg
6,2,56.9,output\experiments\sidewalk_20260611_013714\annotated_frames\camera_01_frame_000006.jpg
7,1,58.32,output\experiments\sidewalk_20260611_013714\annotated_frames\camera_01_frame_000007.jpg
8,1,59.09,output\experiments\sidewalk_20260611_013714\annotated_frames\camera_01_frame_000008.jpg
9,2,54.99,output\experiments\sidewalk_20260611_013714\annotated_frames\camera_01_frame_000009.jpg
10,2,55.04,output\experiments\sidewalk_20260611_013714\annotated_frames\camera_01_frame_000010.jpg
11,2,53.47,output\experiments\sidewalk_20260611_013714\annotated_frames\camera_01_frame_000011.jpg
12,3,57.91,output\experiments\sidewalk_20260611_013714\annotated_frames\camera_01_frame_000012.jpg
13,2,55.65,output\experiments\sidewalk_20260611_013714\annotated_frames\camera_01_frame_000013.jpg
14,3,59.06,output\experiments\sidewalk_20260611_013714\annotated_frames\camera_01_frame_000014.jpg
15,3,54.29,output\experiments\sidewalk_20260611_013714\annotated_frames\camera_01_frame_000015.jpg
16,3,53.98,output\experiments\sidewalk_20260611_013714\annotated_frames\camera_01_frame_000016.jpg
17,3,58.23,output\experiments\sidewalk_20260611_013714\annotated_frames\camera_01_frame_000017.jpg
18,3,57.58,output\experiments\sidewalk_20260611_013714\annotated_frames\camera_01_frame_000018.jpg
19,3,53.4,output\experiments\sidewalk_20260611_013714\annotated_frames\camera_01_frame_000019.jpg
20,2,54.81,output\experiments\sidewalk_20260611_013714\annotated_frames\camera_01_frame_000020.jpg
21,2,56.82,output\experiments\sidewalk_20260611_013714\annotated_frames\camera_01_frame_000021.jpg
22,2,57.13,output\experiments\sidewalk_20260611_013714\annotated_frames\camera_01_frame_000022.jpg
23,2,58.13,output\experiments\sidewalk_20260611_013714\annotated_frames\camera_01_frame_000023.jpg
24,2,60.46,output\experiments\sidewalk_20260611_013714\annotated_frames\camera_01_frame_000024.jpg
25,4,62.3,output\experiments\sidewalk_20260611_013714\annotated_frames\camera_01_frame_000025.jpg
26,3,62.76,output\experiments\sidewalk_20260611_013714\annotated_frames\camera_01_frame_000026.jpg
27,2,68.59,output\experiments\sidewalk_20260611_013714\annotated_frames\camera_01_frame_000027.jpg
28,2,75.98,output\experiments\sidewalk_20260611_013714\annotated_frames\camera_01_frame_000028.jpg
